Year,Player,POS,Rank
2023,JuJu Smith-Schuster,WR49,122
2023,Ezekiel Elliott,RB42,123
2023,Jerick McKinnon,RB43,124
2023,Daniel Carlson,K2,125
2023,Elijah Mitchell,RB44,126
2023,De'Von Achane,RB45,127
2023,New York Jets,DST5,128
2023,Tyler Bass,K3,129
2023,Jaylen Warren,RB46,130
2023,Rashod Bateman,WR50,131
2023,Evan McPherson,K4,132
2023,Quentin Johnston,WR51,133
2023,Dalton Schultz,TE12,134
2023,Allen Lazard,WR52,135
2023,Harrison Butker,K5,136
2023,Tank Bigsby,RB47,137
2023,Adam Thielen,WR53,138
2023,Jared Goff,QB17,139
2023,New England Patriots,DST6,140
2023,Cole Kmet,TE13,141
2023,Chig Okonkwo,TE14,142
2023,Tyler Higbee,TE15,143
2023,Kenneth Gainwell,RB48,144
2023,Tyler Allgeier,RB49,145
2023,Baltimore Ravens,DST7,146
2023,Kenny Pickett,QB18,147
2023,Romeo Doubs,WR54,148
2023,Younghoe Koo,K6,149
2023,Deuce Vaughn,RB50,150
2024,Christian McCaffrey,RB1,1
2024,Tyreek Hill,WR1,2
2024,CeeDee Lamb,WR2,3
2024,Breece Hall,RB2,4
2024,Bijan Robinson,RB3,5
2024,Justin Jefferson,WR3,6
2024,Ja'Marr Chase,WR4,7
2024,Amon-Ra St. Brown,WR5,8
2024,A.J. Brown,WR6,9
2024,Jonathan Taylor,RB4,10
2024,Saquon Barkley,RB5,11
2024,Garrett Wilson,WR7,12
2024,Jahmyr Gibbs,RB6,13
2024,Puka Nacua,WR8,14
2024,Marvin Harrison Jr.,WR9,15
2024,Travis Etienne Jr.,RB7,16
2024,Derrick Henry,RB8,17
2024,Kyren Williams,RB9,18
2024,Davante Adams,WR10,19
2024,De'Von Achane,RB10,20
2024,Isiah Pacheco,RB11,21
2024,Drake London,WR11,22
2024,Josh Allen,QB1,23
2024,Josh Jacobs,RB12,24
2024,Chris Olave,WR12,25
2024,Travis Kelce,TE1,26
2024,Deebo Samuel Sr.,WR13,27
2024,Nico Collins,WR14,28
2024,Sam LaPorta,TE2,29
2024,Patrick Mahomes II,QB2,30
2024,Jalen Hurts,QB3,31
2024,Mike Evans,WR15,32
2024,Brandon Aiyuk,WR16,33
2024,Cooper Kupp,WR17,34
2024,Rachaad White,RB13,35
2024,James Cook,RB14,36
2024,Lamar Jackson,QB4,37
2024,DJ Moore,WR18,38
2024,Michael Pittman Jr.,WR19,39
2024,DK Metcalf,WR20,40
2024,Jaylen Waddle,WR21,41
2024,Joe Mixon,RB15,42
2024,Kenneth Walker III,RB16,43
2024,Stefon Diggs,WR22,44
2024,Alvin Kamara,RB17,45
2024,DeVonta Smith,WR23,46
2024,C.J. Stroud,QB5,47
2024,Trey McBride,TE3,48
2024,Malik Nabers,WR24,49
2024,Mark Andrews,TE4,50
2024,Anthony Richardson Sr.,QB6,51
2024,Dalton Kincaid,TE5,52
2024,Aaron Jones Sr.,RB18,53
2024,Amari Cooper,WR25,54
2024,James Conner,RB19,55
2024,George Kittle,TE6,56
2024,David Montgomery,RB20,57
2024,Rhamondre Stevenson,RB21,58
2024,George Pickens,WR26,59
2024,Tee Higgins,WR27,60
2024,Kyler Murray,QB7,61
2024,D'Andre Swift,RB22,62
2024,Zay Flowers,WR28,63
2024,Tank Dell,WR29,64
2024,Kyle Pitts Sr.,TE7,65
2024,Joe Burrow,QB8,66
2024,Terry McLaurin,WR30,67
2024,Najee Harris,RB23,68
2024,Zamir White,RB24,69
2024,Rashee Rice,WR31,70
2024,Evan Engram,TE8,71
2024,Raheem Mostert,RB25,72
2024,Jordan Love,QB9,73
2024,Christian Kirk,WR32,74
2024,Dak Prescott,QB10,75
2024,Keenan Allen,WR33,76
2024,Chris Godwin Jr.,WR34,77
2024,Calvin Ridley,WR35,78
2024,Javonte Williams,RB26,79
2024,Tony Pollard,RB27,80
2024,Jake Ferguson,TE9,81
2024,Jayden Reed,WR36,82
2024,Diontae Johnson,WR37,83
2024,Devin Singletary,RB28,84
2024,David Njoku,TE10,85
2024,Zack Moss ,RB29,86
2024,Xavier Worthy,WR38,87
2024,Jaylen Warren,RB30,88
2024,Rome Odunze,WR39,89
2024,Brian Robinson Jr.,RB31,90
2024,Brock Purdy,QB11,91
2024,Nick Chubb,RB32,92
2024,Brock Bowers,TE11,93
2024,Austin Ekeler,RB33,94
2024,Jayden Daniels,QB12,95
2024,Caleb Williams,QB13,96
2024,Jonathon Brooks,RB34,97
2024,Tyjae Spears,RB35,98
2024,Jaxon Smith-Njigba,WR40,99
2024,Christian Watson,WR41,100
2024,Tua Tagovailoa,QB14,101
2024,Marquise Brown,WR42,102
2024,Jordan Addison,WR43,103
2024,Chase Brown,RB36,104
2024,Jared Goff,QB15,105
2024,Jerome Ford,RB37,106
2024,DeAndre Hopkins,WR44,107
2024,Ladd McConkey,WR45,108
2024,Brian Thomas Jr.,WR46,109
2024,Courtland Sutton,WR47,110
2024,Dallas Goedert,TE12,111
2024,Gus Edwards,RB38,112
2024,Ezekiel Elliott,RB39,113
2024,Brandon Aubrey,K1,114
2024,Justin Tucker,K2,115
2024,Trey Benson,RB40,116
2024,Keon Coleman,WR48,117
2024,Jameson Williams,WR49,118
2024,Blake Corum,RB41,119
2024,Harrison Butker,K3,120
2024,Trevor Lawrence,QB16,121
2024,San Francisco 49ers,DST1,122
2024,Dalton Schultz,TE13,123
2024,New York Jets,DST2,124
2024,Justin Herbert,QB17,125
2024,Khalil Shakir,WR50,126
2024,T.J. Hockenson,TE14,127
2024,Chuba Hubbard,RB42,128
2024,J.K. Dobbins,RB43,129
2024,Pat Freiermuth,TE15,130
2024,Rico Dowdle,RB44,131
2024,Baltimore Ravens,DST3,132
2024,Curtis Samuel,WR51,133
2024,Aaron Rodgers,QB18,134
2024,Dallas Cowboys,DST4,135
2024,Romeo Doubs,WR52,136
2024,Kirk Cousins,QB19,137
2024,Tyler Lockett,WR53,138
2024,Cole Kmet,TE16,139
2024,Jake Elliott,K4,140
2024,Zach Charbonnet,RB45,141
2024,Joshua Palmer,WR54,142
2024,Ka'imi Fairbairn,K5,143
2024,Jaylen Wright,RB46,144
2024,Jakobi Meyers,WR55,145
2024,Matthew Stafford,QB20,146
2024,Ty Chandler,RB47,147
2024,Jerry Jeudy,WR56,148
2024,Cleveland Browns,DST5,149
2024,Jake Moody,K6,150
